FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST_x,ir_SFR-ladder_total_x,ir_SFR-ladder_total_Av_x,synth_Av_x,ir_A_V_x,gf_n_j_x,gf_dn_j_x,gf_f_j_x,gf_re_j_x,gf_dre_j_x,td_Av_x,ACS_F435W_FLUX_x,ACS_F775W_FLUX_x,restalt_restUjohnson_x,restalt_restVjohnson_x,td_flag1_x,td_z_best_x,td_z_spec_x,td_z_best_s_x,td_z_peak_phot_x,td_lmass_x,td_sfr_x,td_sfr_IR_x,td_sfr_UV_x,ir_z_ir_x,ir_SFR-UV_corr_x,ir_SFR-UV_corr_Error_x,ir_SFR-IR_x,ir_UV_beta_x,ir_beta_obs_x,ir_beta_obs_err_x,DL,PAB_L,PAB_L_ERR,SIGMA_1,3DHST_ID,offset,Ben_ID,z,rmag,hkmag,sigkms,esigkms,loglum3727,eloglum3727,loglum4340,eloglum4340,loglum4861,eloglum4861,loglum5007,eloglum5007,loglum6563,eloglum6563,loglum6583,eloglum6583,HA_L,HA_L_ERR,HB_L,HB_L_ERR,HA_FLUX,HA_FLUX_ERR,HB_FLUX,HB_FLUX_ERR,HA_SFR,PAB_SFR,PABHA_EXCESS,id3DHST_y,RA,DEC,ir_SFR-ladder_total_y,ir_SFR-ladder_total_Av_y,synth_Av_y,ir_A_V_y,gf_n_j_y,gf_dn_j_y,gf_f_j_y,gf_re_j_y,gf_dre_j_y,td_Av_y,ACS_F435W_FLUX_y,ACS_F775W_FLUX_y,restalt_restUjohnson_y,restalt_restVjohnson_y,td_flag1_y,td_z_best_y,td_z_spec_y,td_z_best_s_y,td_z_peak_phot_y,td_lmass_y,td_sfr_y,td_sfr_IR_y,td_sfr_UV_y,ir_z_ir_y,ir_SFR-UV_corr_y,ir_SFR-UV_corr_Error_y,ir_SFR-IR_y,ir_UV_beta_y,ir_beta_obs_y,ir_beta_obs_err_y
GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.001144388341171671,3.90784669065083e-17,1.36705420761725e-17,16377.307363831627,37683,1.57008,1.57008,0.0,0.594,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,-1.0059,0.0,1437.295927009079,9.658781385146632e+39,3.3788627800086015e+39,7.115943023709629,37683,0.33,2230,0.2755,21.41,20.84,48.25,13.32,-99.0,10000.0,40.08,0.04887,40.33,0.02243,40.72,0.01195,40.93,0.01299,40.12,0.06361,8.511380382023759e+40,2.547530671946743e+39,2.1379620895022237e+40,1.1049421582381308e+39,3.4436196795913916e-16,1.030705521610419e-17,8.649981548444956e-17,4.470485855567289e-18,-0.3400000000000034,-0.03507766355252073,0.3049223364474827,37683,189.30608897,62.36034397,1.57008,1.57008,0.0,0.594,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,-1.0059,0.0
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,1.94455052485546e-16,2.1267792505469402e-17,14610.06428423261,19221,1.8332,1.8332,0.2,0.538,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,-1.1823,0.0,666.9478951892702,1.0348930576947228e+40,1.1318754917945963e+39,8.092881374200575,19221,0.18,5789,0.1389,19.43,18.92,52.96,3.449,-99.0,10000.0,39.84,0.03584,40.36,0.01039,40.54,0.00801,41.03,0.003599,40.42,0.008012,1.0715193052376091e+41,8.885709630299899e+38,2.29086765276777e+40,5.484358274713625e+38,2.0133707651242035e-15,1.669613222046546e-17,4.3045103679476336e-16,1.0305037493773254e-17,-0.240000000000002,-0.005104526393239439,0.23489547360676255,19221,189.2012589,62.24070763,1.8332,1.8332,0.2,0.538,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,-1.1823,0.0
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.007587635137700887,1.45205503956923e-16,2.3171394453832803e-17,15374.27830794985,15610,1.28475,1.28475,0.1,0.523,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,-1.2266,0.0,987.4400743034412,1.6939360276074325e+40,2.7031247993805172e+39,7.696212983656835,15610,0.19,7059,0.2008,20.38,19.88,25.41,4.861,-99.0,10000.0,-99.0,10000.0,40.22,0.02209,40.27,0.02473,40.73,0.01046,40.08,0.02624,5.370317963702489e+40,1.2943208732794478e+39,1.6595869074375562e+40,8.447067922879174e+38,4.603478015812377e-16,1.109501844363997e-17,1.422610708594178e-16,7.240891832452856e-18,-0.5400000000000063,0.2088970049429193,0.7488970049429255,15610,189.21272831,62.22242282,1.28475,1.28475,0.1,0.523,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,-1.2266,0.0
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.027063765897924377,3.88996026806824e-17,1.62764684413804e-17,15343.154062106187,18157,0.616173,1.106,0.2,0.523,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,-1.2265,0.0,973.9995107578957,4.415247691359237e+39,1.8474389134307117e+39,7.376507986700897,18157,0.16,5625,0.2013,21.44,20.84,19.31,7.677,-99.0,10000.0,-99.0,10000.0,39.48,0.1278,39.85,0.07596,40.34,0.03598,39.51,0.1821,2.1877616239495696e+40,1.8137249592098048e+39,3.0199517204019944e+39,8.892853222750574e+38,1.9274809451399934e-16,1.5979438803257367e-17,2.660664366993103e-17,7.834859587597203e-18,-0.9299999999999997,-0.37504492787958554,0.5549550721204142,18157,189.18229542,62.23245514,0.616173,1.106,0.2,0.523,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,-1.2265,0.0
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695e-17,1.43271409843934e-17,16434.99410326425,21693,0.0238438,0.02827,0.0,0.316,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,-1.707,0.0,1464.121519596729,6.461370825090581e+39,3.6745673475958894e+39,7.3284940618633465,21693,1.53,6181,0.3215,22.29,21.27,-999.0,1000.0,39.77,0.2441,-99.0,10000.0,-99.0,10000.0,39.52,0.3424,-99.0,10000.0,39.19,0.729,1e-99,2.3041474654377884e-95,1e-99,2.3041474654377884e-95,3.899000788151843e-156,8.983872783760009e-152,3.899000788151843e-156,8.983872783760009e-152,-140.27,-0.2096753336124948,140.06032466638752,21693,189.23252781,62.24847191,0.0238438,0.02827,0.0,0.316,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,-1.707,0.0
GN3,34456,189.33981288,62.324291407,0.21129,0.010113430014904846,2.7507629400000003e-16,2.86222911e-17,15695.781592404122,34456,1.6574,1.6574,2.1,1.351,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,0.5392,0.0,1054.6150842943096,3.6604421821168107e+40,3.808770293061552e+39,8.551415308479926,34456,0.34,4800,0.2113,20.7,18.79,87.82,6.231,-99.0,10000.0,-99.0,10000.0,39.41,0.3951,39.64,0.1314,40.35,0.02764,40.07,0.0612,2.238721138568347e+40,1.4257661813370767e+39,2.5703957827688435e+39,2.340007773668134e+39,1.6823626312292062e-16,1.0714401642206283e-17,1.931610747716816e-17,1.758477894983673e-17,-0.9200000000000017,0.5435335514200332,1.463533551420035,34456,189.33984121,62.32428802,1.6574,1.6574,2.1,1.351,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,0.5392,0.0
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,2.8282754340473304e-16,2.68852447315662e-17,15962.43024127925,34157,0.78256,0.78256,0.0,0.321,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,-1.6969,0.0,1247.3676076150064,5.265056720374458e+40,5.004899337200684e+39,7.709023943585502,34157,0.18,1923,0.2755,21.85,21.14,64.56,5.426,-99.0,10000.0,39.44,0.1298,39.94,0.04343,40.24,0.02837,40.6,0.01746,39.95,0.09834,3.9810717055349856e+40,1.6016016584940288e+39,8.70963589956076e+39,8.71565638520562e+38,2.13854625010473e-16,8.603460259637924e-18,4.6786294170203105e-17,4.6818634926541964e-18,-0.6700000000000017,0.7014030541944294,1.371403054194431,34157,189.20682416,62.32119491,0.78256,0.78256,0.0,0.321,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,-1.6969,0.0
GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.009254443227783871,4.37180834323876e-17,1.1877286525587202e-17,16107.064380817186,33511,0.220988,0.220988,0.1,0.571,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,-1.079,0.0,1312.9763473443024,9.017109608619427e+39,2.4497595970745723e+39,7.320042788844346,33511,0.12,2934,0.2535,22.39,21.57,110.1,7.61,-99.0,10000.0,38.82,0.2892,39.61,0.1082,39.68,0.09505,40.21,0.02693,39.72,0.1063,1.6218100973589332e+40,1.0063443760800939e+39,4.073802778041122e+39,1.0156347018065656e+39,7.863099399396354e-17,4.879107530547093e-18,1.9751212690954765e-17,4.924150260740336e-18,-1.0600000000000023,-0.06493265117123315,0.9950673488287691,33511,189.23455242,62.31476486,0.220988,0.220988,0.1,0.571,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,-1.079,0.0
GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.005207479734088531,4.1323714787567e-17,9.95736555171028e-18,15748.400334035596,34368,0.436351,0.436351,0.0,0.195,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,-1.94,0.0,1151.4890474996364,6.555584316662988e+39,1.5796341103804106e+39,7.594131215924559,34368,0.27,4990,0.2311,21.83,21.22,43.02,4.787,-99.0,10000.0,-99.0,10000.0,40.05,0.0514,40.58,0.02532,40.72,0.01342,39.73,0.06679,5.248074602497712e+40,1.6227917319244077e+39,1.1220184543019562e+40,1.3288421325142985e+39,3.308170981894769e-16,1.0229413497011015e-17,7.072744144882365e-17,8.376475784492018e-18,-0.5500000000000043,-0.20338859242657747,0.3466114075734268,34368,189.33853007,62.32096158,0.436351,0.436351,0.0,0.195,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,-1.94,0.0
GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.15367238943375552,8.1653774546896e-18,5.576697608683531e-18,15460.38984932453,35455,0.301975,0.7115,0.0,0.604,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,-0.9712,0.0,1024.7933559306402,1.0259856739213656e+39,7.007161501168278e+38,7.020517283848955,35455,0.34,59892,0.2468,23.12,22.36,26.01,6.785,-99.0,10000.0,39.4,0.1956,39.84,0.05671,40.57,0.05212,40.48,0.02671,38.84,0.2734,3.0199517204019945e+40,1.8585924067266657e+39,6.91830970918942e+39,9.040030958712721e+38,2.4034493189143165e-16,1.479173532447037e-17,5.5059842997676265e-17,7.194570729028161e-18,-0.7900000000000063,-1.0088587033375944,-0.21885870333758817,35455,189.33208036,62.32866731,0.301975,0.7115,0.0,0.604,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,-0.9712,0.0
GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.01525848232575925,3.9946528197428805e-17,1.63838167271188e-17,16183.517688622132,24611,0.757398,1.119,0.0,0.449,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,-1.4197,0.0,1347.919727076752,8.683594363837986e+39,3.5615214890920286e+39,7.390333953638494,24611,0.03,8420,0.2662,22.41,21.85,59.48,8.224,-99.0,10000.0,-99.0,10000.0,39.39,0.172,39.84,0.07095,40.24,0.05429,39.33,0.3065,1.7378008287493835e+40,2.173852695686729e+39,2.4547089156850337e+39,9.728339481516723e+38,7.994282885465235e-17,1.000022160949096e-17,1.1292224718054735e-17,4.475259565680678e-18,-1.0300000000000011,-0.08130047191284717,0.948699528087154,24611,189.35905778,62.26414074,0.757398,1.119,0.0,0.449,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,-1.4197,0.0
GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.12793665794263642,3.122788098889491e-17,7.94631487723119e-18,15824.161187120399,33249,0.0776152,0.08495,0.0,0.192,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,-1.9463,0.0,1185.2610110586654,5.2488352569058435e+39,1.3356300962245499e+39,7.052139170515979,33249,0.12,2323,0.2305,23.63,22.56,51.37,11.37,-99.0,10000.0,39.04,0.3204,39.62,0.09166,39.89,0.03938,39.89,0.03017,39.17,0.2264,7.762471166286928e+39,5.396169472047848e+38,4.1686938347033295e+39,8.804204536610766e+38,4.618272700435888e-17,3.210444409496561e-18,2.480159284442765e-17,5.238050691521288e-18,-1.3800000000000026,-0.29993705804525916,1.0800629419547434,33249,189.20772637,62.31109177,0.0776152,0.08495,0.0,0.192,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,-1.9463,0.0
