FIELD_x,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR,PAB_SFR_LL,PAB_SFR_EX2_LL,PAB_SFR_LL_1SIGMA,PAB_SFR_EX_LL_1SIGMA,3DHST_ID,offset,Ben_ID,z,rmag,hkmag,sigkms,esigkms,loglum3727,eloglum3727,loglum4340,eloglum4340,loglum4861,eloglum4861,loglum5007,eloglum5007,loglum6563,eloglum6563,loglum6583,eloglum6583,HA_L,HA_L_ERR,HB_L,HB_L_ERR,HA_FLUX,HA_FLUX_ERR,HB_FLUX,HB_FLUX_ERR,HA_SFR,PABHA_EXCESS,FIELD_y,PAB_FLUX_DC_BALMER,PAB_FLUX_DC_BALMER_ERR,HA_FLUX_DC_BALMER,HA_FLUX_DC_BALMER_ERR,HB_FLUX_DC_BALMER,HB_FLUX_DC_BALMER_ERR,FIELD,PAB_FLUX_DC_PABHA,HA_FLUX_DC_PABHA,HB_FLUX_DC_PABHA,HA_L_DC_BALMER,HA_L_DC_BALMER_ERR,HA_L_DC_PABHA,PAB_L_DC_BALMER,PAB_L_DC_BALMER_ERR,HA_SFR_DC_BALMER,HA_SFR_DC_BALMER_ERR,PAB_SFR_DC_BALMER,PAB_SFR_DC_BALMER_ERR,PABHA_EXCESS_DC_BALMER,PABHA_EXCESS_DC_BALMER_ERR,BALMER_ERR,PABHA_ERR,BALMER_DC_ERR,PABHA_DC_ERR
GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.001144388341171671,3.90784669065083e-17,1.36705420761725e-17,16377.307363831627,37683,1.57008,1.57008,0.0,0.594,0.8085,0.0706395,0,0.690642,0.0231143,0.7,4.99338,12.17853,-18.532061,-19.200056,0,0.2195,-1.0,3,0.2195,8.61,0.75561,0.3222,0.4334,0.28,1.84496,0.316932,0.731772,-1.0059,-1.0059,0.0,1437.295927009079,9.658781385146632e+39,3.3788627800086015e+39,7.115943023709629,-0.03507766355252073,0.15182313255156787,0.07455364235538982,-0.30106461834700865,-0.23099944505308956,0.1691405012592381,-1.1272307963149188,-1.3932177511094068,-1.3150572612310327,-1.5810442160255207,37683,0.33,2230,0.2755,21.41,20.84,48.25,13.32,-99.0,10000.0,40.08,0.04887,40.33,0.02243,40.72,0.01195,40.93,0.01299,40.12,0.06361,8.511380382023759e+40,2.547530671946743e+39,2.1379620895022237e+40,1.1049421582381308e+39,3.4436196795913916e-16,1.030705521610419e-17,8.649981548444956e-17,4.470485855567289e-18,-0.3400000000000034,0.3049223364474827,b'GDN',5.44e-17,1.93e-17,8.18e-16,1.3e-16,2.86e-16,6.35e-17,b'GN1',5.99e-17,1.05e-15,4.06e-16,2.0217996760088092e+41,3.213129069451653e+40,2.5952196330186426e+41,1.3445709336782302e+40,4.7702608492628376e+39,0.03573812261310394,0.06897310513447433,0.10858371863996297,0.15397426470588232,0.07284559602685903,0.16871681428834642,0.23776329745138305,0.03984321703244254,0.7809455860356114,0.025853195658980668
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,1.94455052485546e-16,2.1267792505469402e-17,14610.06428423261,19221,1.8332,1.8332,0.2,0.538,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,-1.1823,0.0,666.9478951892702,1.0348930576947228e+40,1.1318754917945963e+39,8.092881374200575,-0.005104526393239439,0.04746712327292092,0.05123601508151453,-0.2799779097636126,-0.2683143749659884,0.06984452042386614,-1.79413937346402,-2.0690127568343932,-1.981965838380134,-2.256839221750507,19221,0.18,5789,0.1389,19.43,18.92,52.96,3.449,-99.0,10000.0,39.84,0.03584,40.36,0.01039,40.54,0.00801,41.03,0.003599,40.42,0.008012,1.0715193052376091e+41,8.885709630299899e+38,2.29086765276777e+40,5.484358274713625e+38,2.0133707651242035e-15,1.669613222046546e-17,4.3045103679476336e-16,1.0305037493773254e-17,-0.240000000000002,0.23489547360676255,b'GDN',3.18e-16,3.57e-17,7.29e-15,4.87e-16,2.55e-15,2.41e-16,b'GN2',2.7e-16,4.75e-15,1.41e-15,3.879750252905004e+41,2.591822185411162e+40,2.5279579837172524e+41,1.6924013448886027e+40,1.8999600003938085e+39,0.3188037701106552,0.02899286694101509,0.2085033617771117,0.04872264150943396,-0.11030040833354349,0.056696403140906765,0.11850378540423481,0.010593596323200446,0.33086922606332464,0.005698563210384895
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.007587635137700887,1.45205503956923e-16,2.3171394453832803e-17,15374.27830794985,15610,1.28475,1.28475,0.1,0.523,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,-1.2266,0.0,987.4400743034412,1.6939360276074325e+40,2.7031247993805172e+39,7.696212983656835,0.2088970049429193,0.06925622596197722,0.018728367697594502,-0.006275088026330283,0.10007837858570874,0.07174382615328478,-1.4533016887496046,-1.6684737817188542,-1.6411281536657185,-1.856300246634968,15610,0.19,7059,0.2008,20.38,19.88,25.41,4.861,-99.0,10000.0,-99.0,10000.0,40.22,0.02209,40.27,0.02473,40.73,0.01046,40.08,0.02624,5.370317963702489e+40,1.2943208732794478e+39,1.6595869074375562e+40,8.447067922879174e+38,4.603478015812377e-16,1.109501844363997e-17,1.422610708594178e-16,7.240891832452856e-18,-0.5400000000000063,0.7488970049429255,b'GDN',1.64e-16,2.78e-17,6.36e-16,9.49e-17,2.22e-16,4.67e-17,b'GN2',4.18e-16,7.36e-15,6.57e-15,7.41943854881654e+40,1.1070828903815876e+40,8.58601693699524e+41,1.91318855661307e+40,3.24308791913679e+39,-0.3996289578444916,0.06475880503144654,0.26175777455479476,0.07356829268292685,0.6613867323992864,0.09801018578383419,0.18223655659331392,0.050905394517084535,0.7388699776841594,0.05823287275218389
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.027063765897924377,3.88996026806824e-17,1.62764684413804e-17,15343.154062106187,18157,0.616173,1.106,0.2,0.523,1.1696,0.432825,0,1.16805,0.242844,0.7,5.02153,15.99987,-17.627013,-18.692137,0,0.2013,0.2013,1,0.2078,8.96,0.29487,0.046595,0.24828,0.2,0.616173,0.0958844,-0.094367,-1.2265,-1.2265,0.0,973.9995107578957,4.415247691359237e+39,1.8474389134307117e+39,7.376507986700897,-0.37504492787958554,0.18159535873786903,0.06753595110464107,-0.16474759198722505,-0.16474759198722505,0.19374720386819475,-1.4652057086144765,-1.254908372722116,-1.6530321735305904,-1.4427348376382299,18157,0.16,5625,0.2013,21.44,20.84,19.31,7.677,-99.0,10000.0,-99.0,10000.0,39.48,0.1278,39.85,0.07596,40.34,0.03598,39.51,0.1821,2.1877616239495696e+40,1.8137249592098048e+39,3.0199517204019944e+39,8.892853222750574e+38,1.9274809451399934e-16,1.5979438803257367e-17,2.660664366993103e-17,7.834859587597203e-18,-0.9299999999999997,0.5549550721204142,b'GDN',9.83e-17,5.09e-17,2.19e-15,1.76e-15,7.66e-16,8.77e-16,b'GN2',8.51e-17,1.5e-15,4.53e-16,2.485730387389937e+41,1.9976646035645155e+41,1.7025550598561212e+41,1.115741082559045e+40,5.777336836445104e+39,0.12545402148234075,0.34878538812785387,0.027563424474358555,0.22472634791454724,-0.0978905970079822,0.4149134589507887,2.2161768053983972,0.08608579321459889,3.999213259996712,0.042911845858702655
GN3,34456,189.33981288,62.324291407,0.21129,0.010113430014904846,2.7507629400000003e-16,2.86222911e-17,15695.781592404122,34456,1.6574,1.6574,2.1,1.351,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,0.5392,0.0,1054.6150842943096,3.6604421821168107e+40,3.808770293061552e+39,8.551415308479926,0.5435335514200332,0.045158650921042286,0.0414230803586766,0.23443806551990937,0.32410621691235186,0.06127948546952669,-1.3961352284589879,-1.7052307143591117,-1.5839616933751017,-1.8930571792752255,34456,0.34,4800,0.2113,20.7,18.79,87.82,6.231,-99.0,10000.0,-99.0,10000.0,39.41,0.3951,39.64,0.1314,40.35,0.02764,40.07,0.0612,2.238721138568347e+40,1.4257661813370767e+39,2.5703957827688435e+39,2.340007773668134e+39,1.6823626312292062e-16,1.0714401642206283e-17,1.931610747716816e-17,1.758477894983673e-17,-0.9200000000000017,1.463533551420035,b'GDN',8.36e-16,7.66e-16,3.09e-15,7.39e-15,1.08e-15,3.7e-15,b'GN3',1.49e-14,2.61e-13,5.25e-13,7.925107400310848e+41,1.895357400915766e+42,6.694022755602367e+43,2.1441390895339382e+41,1.0193167396320515e+41,0.6290051564476755,1.037948220064725,1.3112529544618639,0.2063221864475542,0.6822477980141883,1.058255806577989,7.948358039879194,0.1994695217017487,11.95405328607765,0.6929058177813645
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,2.8282754340473304e-16,2.68852447315662e-17,15962.43024127925,34157,0.78256,0.78256,0.0,0.321,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,-1.6969,0.0,1247.3676076150064,5.265056720374458e+40,5.004899337200684e+39,7.709023943585502,0.7014030541944294,0.04125551589861338,0.035538830647838165,0.6783853004866883,0.8078854087172223,0.054452052999647886,-1.2503342623901332,-1.2733520160978744,-1.438160727306247,-1.4611784810139883,34157,0.18,1923,0.2755,21.85,21.14,64.56,5.426,-99.0,10000.0,39.44,0.1298,39.94,0.04343,40.24,0.02837,40.6,0.01746,39.95,0.09834,3.9810717055349856e+40,1.6016016584940288e+39,8.70963589956076e+39,8.71565638520562e+38,2.13854625010473e-16,8.603460259637924e-18,4.6786294170203105e-17,4.6818634926541964e-18,-0.6700000000000017,1.371403054194431,b'GDN',4.52e-16,6.49e-17,7.29e-16,2.08e-16,2.55e-16,1.03e-16,b'GN3',1.97e-15,3.47e-14,5.32e-14,9.700808135662736e+40,2.767857465319409e+40,4.617531444547283e+42,6.0147671842517925e+40,1.2081644419734548e+40,-0.2831920848843126,0.12382990397805213,0.759218821609096,0.08717600395063423,1.0424109064934086,0.15143810875738842,0.49298430677926164,0.1365126375499286,1.4137785133475318,0.19804537587237936
GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.009254443227783871,4.37180834323876e-17,1.1877286525587202e-17,16107.064380817186,33511,0.220988,0.220988,0.1,0.571,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,-1.079,0.0,1312.9763473443024,9.017109608619427e+39,2.4497595970745723e+39,7.320042788844346,-0.06493265117123315,0.11790869927033595,0.05214776,0.4437056549944942,0.5906986573847312,0.12892575474528012,-1.205809380982295,-0.6971710748165676,-1.3936358458984088,-0.8849975397326815,33511,0.12,2934,0.2535,22.39,21.57,110.1,7.61,-99.0,10000.0,38.82,0.2892,39.61,0.1082,39.68,0.09505,40.21,0.02693,39.72,0.1063,1.6218100973589332e+40,1.0063443760800939e+39,4.073802778041122e+39,1.0156347018065656e+39,7.863099399396354e-17,4.879107530547093e-18,1.9751212690954765e-17,4.924150260740336e-18,-1.0600000000000023,0.9950673488287691,b'GDN',6.08e-17,2.27e-17,1.87e-16,1.26e-16,6.53e-17,6.28e-17,b'GN3',1.79e-16,3.14e-15,3.24e-15,3.481151781957412e+40,2.345588901211946e+40,5.845356468099612e+41,1.1318397237594153e+40,4.682007353598259e+39,-0.7282770405969288,0.29242780748663105,0.03378493213930511,0.1795299412811178,0.7620619727362339,0.34313994580613866,1.0227956949731056,0.15494067291564956,3.3627495430576784,0.25045769437107185
GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.005207479734088531,4.1323714787567e-17,9.95736555171028e-18,15748.400334035596,34368,0.436351,0.436351,0.0,0.195,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,-1.94,0.0,1151.4890474996364,6.555584316662988e+39,1.5796341103804106e+39,7.594131215924559,-0.20338859242657747,0.10457667399114036,0.010805394441812383,0.13572032781105758,0.15677543198253208,0.10513342614074937,-1.319803563106504,-0.9806946428688689,-1.5076300280226178,-1.1685211077849829,34368,0.27,4990,0.2311,21.83,21.22,43.02,4.787,-99.0,10000.0,-99.0,10000.0,40.05,0.0514,40.58,0.02532,40.72,0.01342,39.73,0.06679,5.248074602497712e+40,1.6227917319244077e+39,1.1220184543019562e+40,1.3288421325142985e+39,3.308170981894769e-16,1.0229413497011015e-17,7.072744144882365e-17,8.376475784492018e-18,-0.5500000000000043,0.3466114075734268,b'GDN',6.75e-17,1.82e-17,1.2e-15,3.85e-16,4.19e-16,1.92e-16,b'GN3',6.72e-17,1.18e-15,4.12e-16,2.4750699666598722e+41,7.940849476367091e+40,2.4338188005488745e+41,1.392226856246178e+40,2.8872436850513614e+39,0.12358748032202982,0.13924166666666668,0.12371000710543001,0.09000428009921395,0.00012252678340018974,0.16579810666074832,0.5725232329672099,0.030346130026603104,1.6020591932724562,0.023573660620349206
GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.15367238943375552,8.1653774546896e-18,5.576697608683531e-18,15460.38984932453,35455,0.301975,0.7115,0.0,0.604,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,-0.9712,0.0,1024.7933559306402,1.0259856739213656e+39,7.007161501168278e+38,7.020517283848955,-1.0088587033375944,0.2964084361805729,0.0586269002400861,-0.48882969327664405,-0.48882969327664405,0.30215074792357166,-1.4210505839315175,-0.9010215738705671,-1.6088770488476314,-1.088848038786681,35455,0.34,59892,0.2468,23.12,22.36,26.01,6.785,-99.0,10000.0,39.4,0.1956,39.84,0.05671,40.57,0.05212,40.48,0.02671,38.84,0.2734,3.0199517204019945e+40,1.8585924067266657e+39,6.91830970918942e+39,9.040030958712721e+38,2.4034493189143165e-16,1.479173532447037e-17,5.5059842997676265e-17,7.194570729028161e-18,-0.7900000000000063,-0.21885870333758817,b'GDN',1.25e-17,8.69e-18,7.26e-16,2.78e-16,2.54e-16,1.37e-16,b'GN3',5.94e-18,1.05e-16,1.74e-17,1.1517246787622465e+41,4.410185409034498e+40,1.665717510606555e+40,1.982997036436375e+39,1.0919048820279668e+39,-0.2086513271497097,0.16618732782369147,-0.722677934841748,0.23897500101752792,-0.5140266076920383,0.2910795063904475,0.6304868812808913,0.023296908040977206,1.890669865849897,0.013665320802620855
GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.01525848232575925,3.9946528197428805e-17,1.63838167271188e-17,16183.517688622132,24611,0.757398,1.119,0.0,0.449,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,-1.4197,0.0,1347.919727076752,8.683594363837986e+39,3.5615214890920286e+39,7.390333953638494,-0.08130047191284717,0.17800236417109305,0.05646094761274786,0.03937537410735012,0.03937537410735012,0.18674228298868975,-1.1829951273847996,-1.0623192813646023,-1.3708215923009135,-1.2501457462807162,24611,0.03,8420,0.2662,22.41,21.85,59.48,8.224,-99.0,10000.0,-99.0,10000.0,39.39,0.172,39.84,0.07095,40.24,0.05429,39.33,0.3065,1.7378008287493835e+40,2.173852695686729e+39,2.4547089156850337e+39,9.728339481516723e+38,7.994282885465235e-17,1.000022160949096e-17,1.1292224718054735e-17,4.475259565680678e-18,-1.0300000000000011,0.948699528087154,b'GDN',9.87e-17,5.76e-17,8.55e-16,9.36e-16,2.99e-16,4.65e-16,b'GN4',1.53e-16,2.69e-15,1.46e-15,1.074313779210485e+41,1.1760908740830572e+41,3.3800047556446834e+41,1.2401727486324543e+40,1.2521114047384529e+40,-0.23886885394664858,0.4751157894736842,0.07348218399481965,0.4381779475929598,0.31235103794146823,0.6463241656970447,2.9421287554762903,0.21426445268690286,5.438409852542475,0.14321004017770647
GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.12793665794263642,3.122788098889491e-17,7.94631487723119e-18,15824.161187120399,33249,0.0776152,0.08495,0.0,0.192,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,-1.9463,0.0,1185.2610110586654,5.2488352569058435e+39,1.3356300962245499e+39,7.052139170515979,-0.29993705804525916,0.1104365889553872,0.03987555891114112,0.8101161610355652,0.8101161610355652,0.11741507730516143,-1.294695188878542,-0.18464196979771774,-1.482521653794656,-0.3724684347138316,33249,0.12,2323,0.2305,23.63,22.56,51.37,11.37,-99.0,10000.0,39.04,0.3204,39.62,0.09166,39.89,0.03938,39.89,0.03017,39.17,0.2264,7.762471166286928e+39,5.396169472047848e+38,4.1686938347033295e+39,8.804204536610766e+38,4.618272700435888e-17,3.210444409496561e-18,2.480159284442765e-17,5.238050691521288e-18,-1.3800000000000026,1.0800629419547434,b'GDN',3.12e-17,1.05e-17,4.62e-17,2.7e-17,2.48e-17,2.06e-17,b'GN5',1.44e-16,2.53e-15,6.3e-15,1.0042976892173008e+40,5.869272209711499e+39,5.499725440951886e+41,6.782270108999953e+39,1.7648578274366506e+39,-1.2681375365719703,0.25363636363636366,-0.1886249181096531,0.11293391221489489,1.0795126184623172,0.27764270832643756,0.41402515537335594,0.17836763996877142,1.8920283476283188,0.45543112594484814
